surname,Meaning
Айдогдыев,благородный
Бомбина,жабка
Боссерт,медвежья смелость
Варченко,варить
Виницкая,от города Винница на Украине
Гайбарова,крестьянин
Гиоргадзе,покровитель земледелия
Егоров,земледелец
Здесенко,здешний
Калениченко,добрый победитель
Калясьева,дровокол
Кобелева,собака
Кондратьева,кондор
Кошик,кошелёк
Линченко,конный экипаж
Лисогор,гора в лесу
Мамбетова,восхваляемый
Мартынова,воинственный
Мокроусова,пьющий
Оразбердиев,сын
Оразова,почетный
Поладова,садовод
Сапаров,поездка
Сапарова,поездка
Сапрыкина,благоразумный
Стоянова,стойкий
Ускова,лесная неухоженная поляна
Халилова,верный друг
Чугуевская,Чугуевка
Андриенко,мужественный
Бабенко,бабий сын
Бабкова,женщина в возрасте
Баша,овца
Гольцова,древесина
Евстратова,добрый воин
Егоров,земледелец
Жарова,огонь
Зинченко,богоугодно живущий
Карибова,близкий друг
Ковалева,кузнец
Козлова,Козел
Кондратьева,кондор
Лабазанов,сарай
Суворова,наездник
Фетисова,Богом созданный
Чекалкина,человек небольшого роста
Щекотова,щекотание
Азими,величайший
Акулинкина,картошка
Безъязычная,отсутствие языка
Богданова,богом данный
Бочарова,ремесленник
Васильева,царственный
Гирчук,лошадь
Грицинина,бодрствующий
Гусейнова,гусь
Зайцева,заяц
Ибрагимов,верный
Изосимина,жизнь
Исакова,радость Господня
Казицкая,стремиться
Ковтун,колтун
Колганова,крупный
Корсаков,степная лиса
Краевский,край
Кудинова,безопасный
Лободенко,день
Наумова,утешающий
Пайоуми,преданный слуга
Поночевная,ночной ребенок
Пузанова,упитанный
Супрунова,супруг
Терещук,молотить
Тишинян,тихая
Фетисов,богами сотворенный
Цой,копье
Щербаченко,щербатый
Аксенова,растущий
Андреева,мужественный
Бабичева,бабий сын
Гаврилова,божественный воин
Горевой,горевать
Громакова,соленая река
Дудина,дудка
Зеленькова,зеленый
Ивашин,благодать Божия
Исаенко,Яхве спасает
Калинченко,прекрасный победитель
Ковалева,кузнец
Колесникова,телега
Кравчук,портной
Крамарова,корона
Ларионова,радостный
Ляпина,нерасторопный
Масленникова,торговец маслом
Мягкова,мягкий
Нестерова,вернувшийся на родину
Паршина,целомудренный
Петровский,сын Петра
Рыбалка,ловля рыбы
Сохорова,голубь
Травкина,медицина
Троян,город
Хуссаини,поклявшийся Богу
Черкашина,Черкасы
Шац,сокровище
Щенникова,принцесса
Абрамян,сын Арамиса
Албохджаб,белый
Бабаева,старик
