surname,meaning
Вербоватая,аппаратчик азотирования
Годованная,воспитанник
Евтушенко,счастливый
Егорова,земледелец
Кривкова,кривой
Кужелева,кожа
Матвеева,божий дар
Меликян,владыка
Михеева,богоподобный
Морозова,мороз
Муругова,пятнистый
Мясищев,большой
Батищева,отец
Острикова,острый
Полякова,поле
Ревякина,плакса
Руденко,рыжий
Семенова,услышанный богом
Серегина,высокий
Сетраков,ситник
Ходыка,божий дар
Агапитова,любимый
Ахмедова,прославленный
Багдасарян,благодатная сила
Баскакова,сборщик податей
Белера,выделка кожи
Вороненкова,ворона
Денисенко,жизненные силы
Жукова,жук
Канеева,кровь
Карбышева,хомяк
Кошман,сплавщик леса
Крет,крот
Кужелев,кожа
Кузьменко,порядок
Курьянов,владыка
Лихушина,лихой
Ломакина,охотник на медведей
Лысова,лысина
Мануйлова,с нами Бог
Мясищева,большой
Одарюк,священнослужитель
Первухина,первый
Погорельская,поселение
Присс,достойный
Провоторова,честный
Радченко,герой
Резникова,мясник
Рудь,рыжий
Рябцева,пятнистый
Саркисьянц,высокочтимый
Сахарова,любимый
Солдатов,нанимать
Тютюнник,табак
Чжан,растягивать
Чунахова,семья
Чуриков,владыка
Чухно,чапан
Шураева,поселение
Эспитиа,общность
Юстина,справедливый
Аведова,желание
Аксёнова,растущий
Барышникова,торговец
Бессарабова,поселение
Бойко,боец
Водяницкая,поселение
Воронкина,черный
Гайломазова,великий месяц
Гаспарян,хранительно сокровищ
Гордиенко,гордый
Дрелина,дрель
Дубикова,дуб
Дышекова,золото
Евсенкова,благочестивый
Егорова,земледелец
Кашуба,племя
Козел,сила
Колесникова,мастер изготавливающий колеса
Коробка,короб
Котельникова,котельник
Краснова,красивый
Ласкина,ласка
Максимец,величайший
Марченко,молот
Масалова,моряк
Мельник,мельница
Мойсова,ребенок
Ражина,снаряжающий оружие
Топольская,тополь
Хлебникова,пекарь
Чернышёва,смуглый
Шаповалова,валяльщик
Шелковникова,шелковод
Богатская,поселение
Гадакчян,магия
Гончарова,гончар
Карагодская,золото
Кашурина,чесать
Кислица,капризный
Копанева,колодец
Косоножкина,косатый
Кочарян,коренастый
Кошель,предприниматель
Лобас,богатеть
Мезенцева,младший
Николаева,победитель
Требухина,обряд
Швецова,портной
Яровая,ярый
Бажуткина,любимец
Вартанова,розыгрыш
Володина,слава
Животкова,жизнь
Захарова,радость
Зимина,зима
Калашникова,калачь
Ковальчук,кузнец
Кузьминова,украшение
Мануйлова,с нами Бог
Назарова,посвященный Богу
Олексива,защитник
Панферова,чистый
Потанина,странник
Резуненко,резак
Сопранцова,надежда
Тимашова,почитающий бога
Ушаков,малый
Фомина,близнец
Фомичева,близнец
Щербакова,трещина
